Country Name,Country Code,Year,average_value_Income share held by highest 10%
Panama,PAN,2018,37.1
Angola,AGO,2018,39.6
Colombia,COL,2018,39.7
Brazil,BRA,2018,42.5
Belarus,BLR,2019,21.3
Ukraine,UKR,2019,22.3
Armenia,ARM,2019,25.1
Kyrgyz Republic,KGZ,2019,25.8
Thailand,THA,2019,27.2
Georgia,GEO,2019,27.6
Uruguay,URY,2019,29.7
El Salvador,SLV,2019,29.8
Indonesia,IDN,2019,29.9
Bolivia,BOL,2019,30.8
Argentina,ARG,2019,31.0
Peru,PER,2019,31.1
Turkey,TUR,2019,31.6
Dominican Republic,DOM,2019,33.1
Ecuador,ECU,2019,34.5
Honduras,HND,2019,34.7
Paraguay,PRY,2019,35.2
Costa Rica,CRI,2019,36.7
Panama,PAN,2019,38.0
Colombia,COL,2019,40.3
Brazil,BRA,2019,42.0
