Country Name,Country Code,Year,average_value_Gini index (World Bank estimate)
Tunisia,TUN,1990,40.2
Paraguay,PRY,1990,40.8
Jamaica,JAM,1990,41.1
"Iran, Islamic Rep.",IRN,1990,43.6
Costa Rica,CRI,1990,45.3
Thailand,THA,1990,45.3
Chile,CHL,1990,57.2
Honduras,HND,1990,57.4
Brazil,BRA,1990,60.5
Finland,FIN,1991,22.9
Norway,NOR,1991,25.2
Luxembourg,LUX,1991,26.8
Bangladesh,BGD,1991,27.6
Germany,DEU,1991,29.2
Canada,CAN,1991,31.0
Italy,ITA,1991,31.5
Tanzania,TZA,1991,35.3
United Kingdom,GBR,1991,35.9
United States,USA,1991,38.0
Ghana,GHA,1991,38.4
Costa Rica,CRI,1991,46.6
Argentina,ARG,1991,46.8
Guinea,GIN,1991,46.8
Honduras,HND,1991,51.9
El Salvador,SLV,1991,54.0
Senegal,SEN,1991,54.1
Panama,PAN,1991,58.2
Zambia,ZMB,1991,60.5
Czech Republic,CZE,1992,20.7
Denmark,DNK,1992,24.7
Sweden,SWE,1992,24.9
Belgium,BEL,1992,25.0
Ukraine,UKR,1992,29.7
Burundi,BDI,1992,33.3
Switzerland,CHE,1992,33.9
Lao PDR,LAO,1992,34.3
Israel,ISR,1992,35.5
Vietnam,VNM,1992,35.7
Niger,NER,1992,36.1
United States,USA,1992,38.4
Cote d'Ivoire,CIV,1992,39.4
Trinidad and Tobago,TTO,1992,40.3
Uganda,UGA,1992,41.4
Uruguay,URY,1992,41.5
"Venezuela, RB",VEN,1992,42.1
Jordan,JOR,1992,43.4
Nigeria,NGA,1992,45.0
Argentina,ARG,1992,45.5
Costa Rica,CRI,1992,45.7
Malaysia,MYS,1992,47.7
Thailand,THA,1992,47.9
Bolivia,BOL,1992,49.1
Dominican Republic,DOM,1992,51.4
Colombia,COL,1992,51.5
Honduras,HND,1992,51.8
Mexico,MEX,1992,52.6
Brazil,BRA,1992,53.2
Chile,CHL,1992,54.8
Kenya,KEN,1992,57.5
Central African Republic,CAF,1992,61.3
Czech Republic,CZE,1993,26.6
Ukraine,UKR,1993,28.9
Netherlands,NLD,1993,30.4
India,IND,1993,31.7
Indonesia,IDN,1993,32.0
Italy,ITA,1993,35.5
Jamaica,JAM,1993,35.7
United States,USA,1993,40.4
Guinea-Bissau,GNB,1993,43.6
Argentina,ARG,1993,44.9
Madagascar,MDG,1993,45.3
Costa Rica,CRI,1993,46.0
Russian Federation,RUS,1993,48.4
Mauritania,MRT,1993,50.1
Zambia,ZMB,1993,52.6
Honduras,HND,1993,53.5
Nicaragua,NIC,1993,57.4
South Africa,ZAF,1993,59.3
Brazil,BRA,1993,60.1
Belize,BLZ,1993,60.3
Botswana,BWA,1993,60.8
Luxembourg,LUX,1994,26.9
Germany,DEU,1994,29.2
Austria,AUT,1994,31.3
Canada,CAN,1994,31.3
France,FRA,1994,32.3
United Kingdom,GBR,1994,36.1
Ireland,IRL,1994,36.9
United States,USA,1994,40.0
Turkey,TUR,1994,41.3
Senegal,SEN,1994,41.4
Niger,NER,1994,41.5
"Iran, Islamic Rep.",IRN,1994,43.0
Kenya,KEN,1994,43.1
Thailand,THA,1994,43.5
Argentina,ARG,1994,45.9
Guinea,GIN,1994,46.1
Costa Rica,CRI,1994,46.8
Burkina Faso,BFA,1994,48.1
Mali,MLI,1994,50.4
Mexico,MEX,1994,52.8
Ecuador,ECU,1994,53.4
Honduras,HND,1994,55.0
Chile,CHL,1994,56.4
Eswatini,SWZ,1994,60.5
Belize,BLZ,1994,60.9
Lesotho,LSO,1994,63.2
Denmark,DNK,1995,23.0
Finland,FIN,1995,23.5
Sweden,SWE,1995,25.2
Norway,NOR,1995,26.0
Belgium,BEL,1995,28.4
Germany,DEU,1995,28.9
"Egypt, Arab Rep.",EGY,1995,30.1
Austria,AUT,1995,31.1
Australia,AUS,1995,32.6
Bangladesh,BGD,1995,32.9
Mongolia,MNG,1995,33.2
Azerbaijan,AZE,1995,34.7
Italy,ITA,1995,35.2
Nepal,NPL,1995,35.2
Algeria,DZA,1995,35.3
Sri Lanka,LKA,1995,35.4
United Kingdom,GBR,1995,36.3
Spain,ESP,1995,36.7
Greece,GRC,1995,37.0
Ireland,IRL,1995,37.0
Mauritania,MRT,1995,37.7
Ukraine,UKR,1995,39.3
United States,USA,1995,39.9
Cote d'Ivoire,CIV,1995,40.6
Uruguay,URY,1995,40.9
Tunisia,TUN,1995,41.7
St. Lucia,LCA,1995,42.6
Ethiopia,ETH,1995,44.6
Costa Rica,CRI,1995,45.7
"Venezuela, RB",VEN,1995,47.2
Malaysia,MYS,1995,48.5
Argentina,ARG,1995,48.9
El Salvador,SLV,1995,49.9
Honduras,HND,1995,55.5
Panama,PAN,1995,57.8
Paraguay,PRY,1995,58.2
Brazil,BRA,1995,59.6
Czech Republic,CZE,1996,25.8
Albania,ALB,1996,27.0
Pakistan,PAK,1996,28.7
Indonesia,IDN,1996,34.5
China,CHN,1996,35.2
Syrian Arab Republic,SYR,1996,35.2
Ukraine,UKR,1996,35.2
Kazakhstan,KAZ,1996,35.4
Ireland,IRL,1996,35.6
Georgia,GEO,1996,37.1
Uganda,UGA,1996,39.0
United States,USA,1996,40.3
Jamaica,JAM,1996,40.4
Uruguay,URY,1996,40.8
Thailand,THA,1996,42.9
Cameroon,CMR,1996,44.4
Papua New Guinea,PNG,1996,45.8
Russian Federation,RUS,1996,46.1
Costa Rica,CRI,1996,46.5
Dominican Republic,DOM,1996,47.4
Zambia,ZMB,1996,48.3
Argentina,ARG,1996,49.5
El Salvador,SLV,1996,51.0
Nigeria,NGA,1996,51.9
Mexico,MEX,1996,53.6
Mozambique,MOZ,1996,53.6
Chile,CHL,1996,54.9
Honduras,HND,1996,55.7
Belize,BLZ,1996,56.6
Colombia,COL,1996,56.9
Brazil,BRA,1996,59.9
South Africa,ZAF,1996,60.7
Belgium,BEL,1997,26.8
Austria,AUT,1997,30.2
Luxembourg,LUX,1997,30.2
Canada,CAN,1997,31.6
Lao PDR,LAO,1997,34.9
Vietnam,VNM,1997,35.4
Jordan,JOR,1997,36.4
Moldova,MDA,1997,36.9
Israel,ISR,1997,38.1
Russian Federation,RUS,1997,38.4
Madagascar,MDG,1997,39.5
United States,USA,1997,40.5
Georgia,GEO,1997,40.7
Uruguay,URY,1997,41.5
Kenya,KEN,1997,45.0
Costa Rica,CRI,1997,45.6
Dominican Republic,DOM,1997,48.9
Argentina,ARG,1997,49.1
Malaysia,MYS,1997,49.1
Honduras,HND,1997,52.7
Peru,PER,1997,53.3
Paraguay,PRY,1997,54.9
Bolivia,BOL,1997,58.2
Panama,PAN,1997,58.2
Brazil,BRA,1997,59.8
Belize,BLZ,1997,60.4
Malawi,MWI,1997,65.8
Germany,DEU,1998,28.3
Mongolia,MNG,1998,30.3
Indonesia,IDN,1998,31.1
Belarus,BLR,1998,32.0
Pakistan,PAK,1998,33.1
Canada,CAN,1998,33.2
"Yemen, Rep.",YEM,1998,35.0
Italy,ITA,1998,36.7
Russian Federation,RUS,1998,38.1
Cote d'Ivoire,CIV,1998,39.0
Morocco,MAR,1998,39.4
Moldova,MDA,1998,39.5
United States,USA,1998,40.0
Ghana,GHA,1998,40.1
Turkmenistan,TKM,1998,40.8
Georgia,GEO,1998,41.3
Thailand,THA,1998,41.5
Burundi,BDI,1998,42.3
Uruguay,URY,1998,42.5
"Iran, Islamic Rep.",IRN,1998,44.1
Uzbekistan,UZB,1998,44.7
Guyana,GUY,1998,45.1
Costa Rica,CRI,1998,45.7
"Venezuela, RB",VEN,1998,48.1
"Gambia, The",GMB,1998,48.5
Zambia,ZMB,1998,49.1
Burkina Faso,BFA,1998,49.9
Argentina,ARG,1998,50.7
Mexico,MEX,1998,51.7
Nicaragua,NIC,1998,54.4
El Salvador,SLV,1998,54.5
Belize,BLZ,1998,54.9
Peru,PER,1998,55.1
Chile,CHL,1998,55.5
Honduras,HND,1998,57.4
Panama,PAN,1998,57.5
Brazil,BRA,1998,59.6
Netherlands,NLD,1999,28.1
Tajikistan,TJK,1999,29.5
Ethiopia,ETH,1999,30.0
Indonesia,IDN,1999,31.1
Belarus,BLR,1999,31.7
"Egypt, Arab Rep.",EGY,1999,32.8
Armenia,ARM,1999,36.2
United Kingdom,GBR,1999,37.0
Russian Federation,RUS,1999,37.4
Madagascar,MDG,1999,38.6
China,CHN,1999,38.7
United States,USA,1999,40.0
Georgia,GEO,1999,40.1
Moldova,MDA,1999,42.6
Uganda,UGA,1999,43.0
Thailand,THA,1999,43.1
Jamaica,JAM,1999,44.1
Costa Rica,CRI,1999,47.7
"Venezuela, RB",VEN,1999,47.8
Argentina,ARG,1999,49.8
El Salvador,SLV,1999,52.2
Belize,BLZ,1999,53.3
Paraguay,PRY,1999,54.6
Peru,PER,1999,54.8
Honduras,HND,1999,55.4
Panama,PAN,1999,56.5
Suriname,SUR,1999,57.9
Bolivia,BOL,1999,58.1
Ecuador,ECU,1999,58.6
Colombia,COL,1999,58.7
Brazil,BRA,1999,59.0
Denmark,DNK,2000,23.8
Finland,FIN,2000,27.2
Sweden,SWE,2000,27.2
Norway,NOR,2000,27.4
Indonesia,IDN,2000,28.6
Austria,AUT,2000,28.8
Germany,DEU,2000,28.8
Luxembourg,LUX,2000,30.4
Kyrgyz Republic,KGZ,2000,31.0
France,FRA,2000,31.1
Belarus,BLR,2000,31.2
Sao Tome and Principe,STP,2000,32.1
Ireland,IRL,2000,33.0
Belgium,BEL,2000,33.1
Canada,CAN,2000,33.3
Bangladesh,BGD,2000,33.4
Switzerland,CHE,2000,33.4
Greece,GRC,2000,34.2
Spain,ESP,2000,34.3
Italy,ITA,2000,35.3
Uzbekistan,UZB,2000,36.1
Moldova,MDA,2000,36.4
Russian Federation,RUS,2000,37.1
Tanzania,TZA,2000,37.3
Tonga,TON,2000,37.7
United Kingdom,GBR,2000,38.4
Mauritania,MRT,2000,39.0
United States,USA,2000,40.1
Georgia,GEO,2000,40.5
Morocco,MAR,2000,40.6
Tunisia,TUN,2000,40.8
Thailand,THA,2000,42.8
Uruguay,URY,2000,42.9
Costa Rica,CRI,2000,47.4
Philippines,PHL,2000,47.7
Rwanda,RWA,2000,48.5
Peru,PER,2000,49.1
Argentina,ARG,2000,51.1
Dominican Republic,DOM,2000,51.5
El Salvador,SLV,2000,51.5
Angola,AGO,2000,52.0
Mexico,MEX,2000,52.6
Chile,CHL,2000,52.8
Eswatini,SWZ,2000,53.1
Guatemala,GTM,2000,54.2
Ecuador,ECU,2000,56.4
Panama,PAN,2000,56.6
South Africa,ZAF,2000,57.8
Colombia,COL,2000,58.7
Bolivia,BOL,2000,61.6
Indonesia,IDN,2001,29.0
Bosnia and Herzegovina,BIH,2001,30.0
Kyrgyz Republic,KGZ,2001,30.2
Germany,DEU,2001,30.3
Pakistan,PAK,2001,30.4
Belarus,BLR,2001,30.6
Australia,AUS,2001,33.5
Armenia,ARM,2001,35.4
Timor-Leste,TLS,2001,35.9
Kazakhstan,KAZ,2001,36.0
Azerbaijan,AZE,2001,36.5
Russian Federation,RUS,2001,36.9
United Kingdom,GBR,2001,37.3
Moldova,MDA,2001,38.0
Israel,ISR,2001,38.9
Georgia,GEO,2001,39.6
Mali,MLI,2001,39.9
United States,USA,2001,40.6
Senegal,SEN,2001,41.2
Cameroon,CMR,2001,42.1
Uruguay,URY,2001,45.0
"Venezuela, RB",VEN,2001,47.2
Madagascar,MDG,2001,47.4
Dominican Republic,DOM,2001,50.0
Peru,PER,2001,51.3
El Salvador,SLV,2001,51.4
Costa Rica,CRI,2001,51.5
Cabo Verde,CPV,2001,52.5
Nicaragua,NIC,2001,52.9
Argentina,ARG,2001,53.3
Paraguay,PRY,2001,54.6
Honduras,HND,2001,55.4
Panama,PAN,2001,56.7
Bolivia,BOL,2001,57.4
Colombia,COL,2001,57.5
Brazil,BRA,2001,58.4
Azerbaijan,AZE,2002,25.3
Czech Republic,CZE,2002,26.6
Ukraine,UKR,2002,29.0
Germany,DEU,2002,29.9
Belarus,BLR,2002,30.3
Kyrgyz Republic,KGZ,2002,30.3
Albania,ALB,2002,31.7
Indonesia,IDN,2002,31.7
Switzerland,CHE,2002,31.7
Ireland,IRL,2002,32.3
Lao PDR,LAO,2002,32.6
Mongolia,MNG,2002,32.9
Uzbekistan,UZB,2002,33.0
Armenia,ARM,2002,34.8
Kazakhstan,KAZ,2002,34.8
United Kingdom,GBR,2002,35.1
Guinea-Bissau,GNB,2002,35.6
Moldova,MDA,2002,35.8
Jordan,JOR,2002,37.0
Vietnam,VNM,2002,37.0
Georgia,GEO,2002,37.2
Russian Federation,RUS,2002,37.3
Fiji,FJI,2002,38.1
Djibouti,DJI,2002,40.0
Sri Lanka,LKA,2002,40.2
United States,USA,2002,40.4
Samoa,WSM,2002,40.7
Cote d'Ivoire,CIV,2002,41.3
Maldives,MDV,2002,41.3
Turkey,TUR,2002,41.4
Thailand,THA,2002,41.9
China,CHN,2002,42.0
Zambia,ZMB,2002,42.1
Guinea,GIN,2002,43.0
Uganda,UGA,2002,45.2
Uruguay,URY,2002,45.5
Mozambique,MOZ,2002,47.0
Jamaica,JAM,2002,48.3
"Venezuela, RB",VEN,2002,49.0
Dominican Republic,DOM,2002,49.7
Mexico,MEX,2002,50.1
Lesotho,LSO,2002,51.6
Costa Rica,CRI,2002,51.8
El Salvador,SLV,2002,51.9
Peru,PER,2002,53.6
Argentina,ARG,2002,53.8
Honduras,HND,2002,55.7
Colombia,COL,2002,56.0
Panama,PAN,2002,56.1
Paraguay,PRY,2002,57.3
Brazil,BRA,2002,58.1
Bolivia,BOL,2002,59.3
Botswana,BWA,2002,64.7
Sweden,SWE,2003,25.3
Denmark,DNK,2003,25.6
Azerbaijan,AZE,2003,26.8
Iceland,ISL,2003,26.8
Norway,NOR,2003,27.6
Finland,FIN,2003,27.7
Belgium,BEL,2003,28.1
Kyrgyz Republic,KGZ,2003,28.7
Ukraine,UKR,2003,28.7
Belarus,BLR,2003,28.8
Kosovo,XKX,2003,29.0
Austria,AUT,2003,29.5
Germany,DEU,2003,30.0
Luxembourg,LUX,2003,30.2
France,FRA,2003,31.4
Spain,ESP,2003,31.8
Indonesia,IDN,2003,31.9
Tajikistan,TJK,2003,32.7
Greece,GRC,2003,32.8
Ireland,IRL,2003,32.9
Armenia,ARM,2003,33.0
Australia,AUS,2003,33.5
Kazakhstan,KAZ,2003,33.7
Italy,ITA,2003,34.9
Moldova,MDA,2003,34.9
United Kingdom,GBR,2003,35.1
Uzbekistan,UZB,2003,35.3
Georgia,GEO,2003,36.7
Estonia,EST,2003,37.2
Syrian Arab Republic,SYR,2003,37.5
Benin,BEN,2003,38.6
Portugal,PRT,2003,38.8
Chad,TCD,2003,39.8
Russian Federation,RUS,2003,40.0
Nigeria,NGA,2003,40.1
Sierra Leone,SLE,2003,40.2
United States,USA,2003,40.8
Bhutan,BTN,2003,40.9
Turkey,TUR,2003,42.2
Burkina Faso,BFA,2003,43.3
Nepal,NPL,2003,43.8
Uruguay,URY,2003,45.0
Malaysia,MYS,2003,46.4
Philippines,PHL,2003,46.6
"Gambia, The",GMB,2003,47.3
"Venezuela, RB",VEN,2003,48.1
Costa Rica,CRI,2003,49.3
El Salvador,SLV,2003,50.5
Argentina,ARG,2003,50.9
Chile,CHL,2003,51.5
Dominican Republic,DOM,2003,52.1
Peru,PER,2003,53.1
Ecuador,ECU,2003,53.5
Colombia,COL,2003,53.6
Paraguay,PRY,2003,54.9
Panama,PAN,2003,55.7
Brazil,BRA,2003,57.6
Honduras,HND,2003,58.1
Namibia,NAM,2003,63.3
Slovenia,SVN,2004,24.8
Denmark,DNK,2004,24.9
Sweden,SWE,2004,26.1
Belarus,BLR,2004,26.5
Azerbaijan,AZE,2004,26.6
Slovak Republic,SVK,2004,27.1
Czech Republic,CZE,2004,27.5
Finland,FIN,2004,27.9
Iceland,ISL,2004,28.0
Ukraine,UKR,2004,28.9
Austria,AUT,2004,29.8
Ethiopia,ETH,2004,29.8
Netherlands,NLD,2004,29.8
Hungary,HUN,2004,29.9
Cyprus,CYP,2004,30.1
Luxembourg,LUX,2004,30.2
Germany,DEU,2004,30.4
Belgium,BEL,2004,30.5
France,FRA,2004,30.6
Norway,NOR,2004,31.6
"Egypt, Arab Rep.",EGY,2004,31.8
Kazakhstan,KAZ,2004,31.8
Pakistan,PAK,2004,32.5
Indonesia,IDN,2004,32.7
Australia,AUS,2004,33.1
Spain,ESP,2004,33.3
Estonia,EST,2004,33.6
Greece,GRC,2004,33.6
Ireland,IRL,2004,33.6
Tajikistan,TJK,2004,33.6
Canada,CAN,2004,33.7
Bosnia and Herzegovina,BIH,2004,34.0
West Bank and Gaza,PSE,2004,34.0
Italy,ITA,2004,34.3
India,IND,2004,34.4
Kyrgyz Republic,KGZ,2004,34.8
Moldova,MDA,2004,35.0
United Kingdom,GBR,2004,36.0
Georgia,GEO,2004,36.2
Latvia,LVA,2004,36.4
Vietnam,VNM,2004,36.8
Lithuania,LTU,2004,37.0
Armenia,ARM,2004,37.5
Poland,POL,2004,38.0
Portugal,PRT,2004,38.9
Malawi,MWI,2004,39.9
Mauritania,MRT,2004,40.2
Russian Federation,RUS,2004,40.3
United States,USA,2004,40.3
Turkey,TUR,2004,41.3
"Congo, Dem. Rep.",COD,2004,42.2
Thailand,THA,2004,42.5
Jamaica,JAM,2004,45.5
Uruguay,URY,2004,45.9
"Venezuela, RB",VEN,2004,47.5
El Salvador,SLV,2004,47.8
Costa Rica,CRI,2004,48.3
Argentina,ARG,2004,48.4
Peru,PER,2004,49.9
Mexico,MEX,2004,50.0
Dominican Republic,DOM,2004,52.1
Paraguay,PRY,2004,52.3
Ecuador,ECU,2004,53.9
Zambia,ZMB,2004,54.3
Panama,PAN,2004,54.8
Bolivia,BOL,2004,55.0
Colombia,COL,2004,55.0
Comoros,COM,2004,55.9
Brazil,BRA,2004,56.5
Honduras,HND,2004,58.1
Slovenia,SVN,2005,24.6
Denmark,DNK,2005,25.2
Azerbaijan,AZE,2005,26.6
Sweden,SWE,2005,26.8
Czech Republic,CZE,2005,26.9
Belarus,BLR,2005,27.6
Finland,FIN,2005,27.6
Austria,AUT,2005,28.7
Iceland,ISL,2005,29.0
Netherlands,NLD,2005,29.0
Ukraine,UKR,2005,29.0
Belgium,BEL,2005,29.3
Slovak Republic,SVK,2005,29.3
France,FRA,2005,29.8
Cyprus,CYP,2005,30.3
Albania,ALB,2005,30.6
Norway,NOR,2005,30.6
Luxembourg,LUX,2005,30.8
Kosovo,XKX,2005,31.2
Germany,DEU,2005,32.1
Spain,ESP,2005,32.4
Kyrgyz Republic,KGZ,2005,32.6
Pakistan,PAK,2005,32.7
Indonesia,IDN,2005,33.0
Bangladesh,BGD,2005,33.2
Estonia,EST,2005,33.4
Ireland,IRL,2005,33.8
Italy,ITA,2005,33.8
United Kingdom,GBR,2005,34.3
Greece,GRC,2005,34.6
Hungary,HUN,2005,34.7
West Bank and Gaza,PSE,2005,34.7
"Yemen, Rep.",YEM,2005,34.7
Lithuania,LTU,2005,35.3
Poland,POL,2005,35.8
Armenia,ARM,2005,36.0
Moldova,MDA,2005,36.3
Georgia,GEO,2005,37.4
Tunisia,TUN,2005,37.7
Portugal,PRT,2005,38.5
Latvia,LVA,2005,39.0
Senegal,SEN,2005,39.2
Kazakhstan,KAZ,2005,39.8
Madagascar,MDG,2005,39.9
China,CHN,2005,40.9
United States,USA,2005,41.0
Russian Federation,RUS,2005,41.3
Israel,ISR,2005,41.8
Gabon,GAB,2005,42.2
"Micronesia, Fed. Sts.",FSM,2005,42.4
Turkey,TUR,2005,42.6
Ghana,GHA,2005,42.8
Uganda,UGA,2005,42.9
"Iran, Islamic Rep.",IRN,2005,43.6
Niger,NER,2005,44.4
Uruguay,URY,2005,44.7
Solomon Islands,SLB,2005,46.1
Kenya,KEN,2005,46.5
"Congo, Rep.",COG,2005,47.3
Costa Rica,CRI,2005,47.5
Argentina,ARG,2005,47.7
El Salvador,SLV,2005,48.5
Nicaragua,NIC,2005,48.8
"Venezuela, RB",VEN,2005,49.5
Dominican Republic,DOM,2005,50.0
Mexico,MEX,2005,50.1
Peru,PER,2005,50.4
Paraguay,PRY,2005,51.4
Rwanda,RWA,2005,52.0
Ecuador,ECU,2005,53.1
Panama,PAN,2005,53.8
Colombia,COL,2005,53.9
Brazil,BRA,2005,56.3
Bolivia,BOL,2005,58.5
Honduras,HND,2005,59.5
South Africa,ZAF,2005,64.8
Slovenia,SVN,2006,24.4
Slovak Republic,SVK,2006,25.8
Denmark,DNK,2006,25.9
Norway,NOR,2006,26.4
Sweden,SWE,2006,26.4
Czech Republic,CZE,2006,26.7
Finland,FIN,2006,28.0
Malta,MLT,2006,28.0
Belgium,BEL,2006,28.1
Belarus,BLR,2006,28.3
Hungary,HUN,2006,28.3
Iraq,IRQ,2006,28.6
Austria,AUT,2006,29.6
Armenia,ARM,2006,29.7
France,FRA,2006,29.7
Ukraine,UKR,2006,29.8
Netherlands,NLD,2006,30.0
Iceland,ISL,2006,30.2
Kazakhstan,KAZ,2006,30.2
Kosovo,XKX,2006,30.3
Luxembourg,LUX,2006,30.9
Cyprus,CYP,2006,31.1
Germany,DEU,2006,31.3
"Korea, Rep.",KOR,2006,31.7
Ireland,IRL,2006,32.7
Burundi,BDI,2006,33.4
Spain,ESP,2006,33.5
Estonia,EST,2006,33.7
Italy,ITA,2006,33.7
Jordan,JOR,2006,33.9
Switzerland,CHE,2006,33.9
West Bank and Gaza,PSE,2006,34.0
Indonesia,IDN,2006,34.3
Lithuania,LTU,2006,34.4
United Kingdom,GBR,2006,34.6
Poland,POL,2006,34.7
Greece,GRC,2006,35.1
Moldova,MDA,2006,35.4
Latvia,LVA,2006,35.6
Bulgaria,BGR,2006,35.7
Mauritius,MUS,2006,35.7
Vietnam,VNM,2006,35.8
Georgia,GEO,2006,36.9
Kiribati,KIR,2006,37.0
Kyrgyz Republic,KGZ,2006,37.4
Portugal,PRT,2006,38.1
Mali,MLI,2006,38.9
Romania,ROU,2006,39.6
Turkey,TUR,2006,39.6
Sri Lanka,LKA,2006,39.7
Morocco,MAR,2006,40.7
Russian Federation,RUS,2006,41.0
United States,USA,2006,41.4
Thailand,THA,2006,41.8
Togo,TGO,2006,42.2
"Iran, Islamic Rep.",IRN,2006,44.8
Malaysia,MYS,2006,44.8
"Venezuela, RB",VEN,2006,44.8
El Salvador,SLV,2006,45.7
Uruguay,URY,2006,45.9
Argentina,ARG,2006,46.3
Philippines,PHL,2006,47.2
Chile,CHL,2006,47.3
Mexico,MEX,2006,48.9
Costa Rica,CRI,2006,49.4
Peru,PER,2006,50.3
Dominican Republic,DOM,2006,52.0
Ecuador,ECU,2006,52.3
Paraguay,PRY,2006,53.0
Guatemala,GTM,2006,54.6
Panama,PAN,2006,54.6
Zambia,ZMB,2006,54.6
Brazil,BRA,2006,55.6
Bolivia,BOL,2006,56.7
Honduras,HND,2006,57.5
Slovenia,SVN,2007,24.4
Slovak Republic,SVK,2007,24.7
Czech Republic,CZE,2007,26.0
Denmark,DNK,2007,26.2
Ukraine,UKR,2007,27.0
Norway,NOR,2007,27.1
Sweden,SWE,2007,27.1
Timor-Leste,TLS,2007,27.8
Hungary,HUN,2007,27.9
Finland,FIN,2007,28.3
Belgium,BEL,2007,29.2
Malta,MLT,2007,29.2
Iceland,ISL,2007,29.5
Belarus,BLR,2007,29.6
Netherlands,NLD,2007,29.6
Kazakhstan,KAZ,2007,30.1
Austria,AUT,2007,30.6
Cyprus,CYP,2007,31.1
Luxembourg,LUX,2007,31.1
Armenia,ARM,2007,31.2
Estonia,EST,2007,31.2
Germany,DEU,2007,31.3
Pakistan,PAK,2007,31.6
Ireland,IRL,2007,31.9
Tajikistan,TJK,2007,32.2
France,FRA,2007,32.4
Italy,ITA,2007,32.9
Bosnia and Herzegovina,BIH,2007,33.1
Canada,CAN,2007,33.8
Kyrgyz Republic,KGZ,2007,33.9
Greece,GRC,2007,34.0
Poland,POL,2007,34.0
Spain,ESP,2007,34.1
Switzerland,CHE,2007,34.3
Moldova,MDA,2007,34.4
